,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
333,San Policarpo,42,PH,1563927561,78,12.18,125.51,82.18,4.65
334,Decatur,1,US,1563927474,78,35.51,-84.79,78.8,9.8
335,San Pedro Buenavista,43,MX,1563927562,91,20.01,-97.11,71.91,1.66
336,Camopi,49,GF,1563927562,98,3.17,-52.33,71.37,1.88
337,Lazaro Cardenas,75,MX,1563927562,60,28.39,-105.62,80.01,11.41
338,Lisakovsk,0,KZ,1563927562,89,52.55,62.49,57.16,9.33
339,Manokwari,89,ID,1563927562,77,-0.87,134.08,76.06,3.22
340,Buala,23,SB,1563927207,73,-8.15,159.59,82.18,10.6
341,Coquimbo,0,CL,1563926980,71,-29.95,-71.34,50.0,4.7
342,Voyvozh,92,RU,1563927563,89,62.89,54.96,53.91,1.05
343,Hohhot,0,CN,1563927563,77,40.81,111.65,66.2,4.47
344,Savannah Bight,42,HN,1563927563,81,16.45,-85.85,82.71,15.28
345,Bull Savanna,73,JM,1563927031,76,17.89,-77.59,83.61,11.86
346,Namibe,22,AO,1563927564,76,-15.19,12.15,65.61,12.35
347,Darhan,100,MN,1563927564,99,49.49,105.92,56.97,3.33
348,Saint-Leu,75,RE,1563927564,82,-21.15,55.28,69.8,10.29
349,Norcasia,95,CO,1563927564,92,5.58,-74.89,67.41,2.3
350,Linjiang,100,CN,1563927565,97,41.81,126.91,68.14,2.04
351,Novoagansk,86,RU,1563927565,74,61.94,76.66,61.11,14.0
352,Francisco Sa,0,BR,1563927565,60,-16.48,-43.49,71.6,9.17
353,Praia da Vitoria,20,PT,1563927565,83,38.73,-27.07,75.2,24.92
354,Udachnyy,89,RU,1563927140,46,66.42,112.4,69.8,2.24
355,Hambantota,98,LK,1563927566,81,6.12,81.12,80.37,15.73
356,Izberbash,40,RU,1563927566,73,42.57,47.86,77.0,15.66
357,Lokosovo,44,RU,1563927566,77,61.13,74.84,60.04,11.43
358,Pudozh,98,RU,1563927566,98,61.81,36.54,48.7,2.55
359,Zdvinsk,67,RU,1563927567,81,54.7,78.67,56.61,3.22
360,Salinopolis,22,BR,1563927567,79,-0.61,-47.36,81.64,16.22
361,Novosergiyevka,0,RU,1563927567,89,52.08,53.65,58.23,5.12
362,Marystown,100,CA,1563927027,93,47.17,-55.16,55.54,17.69
363,Pokhara,99,NP,1563927015,96,28.21,83.99,57.51,1.14
364,Phuthaditjhaba,0,ZA,1563927567,31,-28.53,28.82,40.41,15.9
365,Quthing,27,LS,1563927310,83,-30.4,27.7,37.35,32.68
366,Tecoanapa,75,MX,1563927568,74,16.99,-99.26,82.4,6.93
367,Den Helder,0,NL,1563927568,88,52.96,4.76,73.99,10.29
368,Heilbron,0,ZA,1563927568,27,-27.29,27.97,46.35,13.56
369,Kimberley,0,ZA,1563927569,76,-28.74,24.76,53.6,12.75
370,Betong,93,MY,1563927569,98,5.77,101.07,69.75,1.97
371,Huilong,60,CN,1563927569,90,31.15,106.5,76.06,3.09
372,Hamburg,0,DE,1563927350,82,53.55,10.0,71.6,3.36
373,Brighton,0,GB,1563927569,64,50.82,-0.14,77.0,3.36
374,Tomatlan,100,MX,1563927570,75,19.93,-105.25,84.16,19.13
375,Mehran,0,IR,1563927570,23,33.12,46.17,75.2,4.7
376,Kuopio,0,FI,1563927570,68,62.89,27.68,64.4,9.17
